date,sleep_hours,energy_level,mood_score,exercise_minutes,interruptions,habits_planned,habits_completed,planned_task_hours,completed_task_hours,planned_study_hours,study_hours,planned_deep_work_hours,deep_work_hours,productivity_score
2023-01-02,7.7,8,6,0,5,5,5,7.5,6.75,1.25,1,4.5,3.25,72.1
2023-01-03,7,5,5,0,6,5,4,6.5,4.75,1.25,1,1.75,1.25,59.7
2023-01-04,6.2,3,6,45,6,6,1,9.25,2.25,1.5,0.5,2.75,0.5,32.9
2023-01-05,6.6,5,6,20,7,6,3,5.75,3,2,0.75,1.25,0.25,48.8
2023-01-06,7.8,7,6,15,2,5,4,6,5,2.25,2,2,1.5,68.8
2023-01-07,7.4,4,7,35,4,4,3,3.25,1.25,1,0.5,1,0.25,39.1
2023-01-08,7.5,6,6,65,5,4,1,5.25,2,0.5,0.25,2.5,0.25,37.6
2023-01-09,7.3,5,4,0,4,6,2,5.25,3.5,1.25,0.75,2.25,1.5,46.3
2023-01-10,6.4,3,4,0,7,5,2,6.5,2,3.5,0.5,0.5,0,27.3
2023-01-11,7.4,6,7,45,6,6,2,4.25,2,1,0.5,0.5,0.25,46.3
2023-01-12,7,5,5,25,6,5,2,7.25,3.25,2.5,1.25,3,0.75,49.7
2023-01-13,5.8,2,4,35,3,6,2,6.25,2.5,1.75,0.5,2.25,0.75,39.3
2023-01-14,8.9,8,8,45,3,4,2,2.75,2.75,0.25,0.25,0,0,50.6
2023-01-15,7.2,6,7,0,4,3,2,5,4,1.25,1,1.5,0.75,55
2023-01-16,5.8,4,7,5,5,5,4,5.25,3.5,0.75,0.5,0.75,0.5,45.6
2023-01-17,6.3,,8,0,8,6,6,8,7,2.25,2,0.5,0.25,63.4
2023-01-18,6.1,5,8,0,6,5,3,6,3.75,2.5,2,1,0.5,45.9
2023-01-19,7.2,6,8,40,5,6,2,9,5,3.75,2.5,4,1.75,64
2023-01-20,6.7,4,6,0,4,6,3,8,4.5,4,2.25,0.5,0.25,51.6
2023-01-21,7.4,7,7,130,7,3,2,3.75,3,0.5,0.25,1,0.75,54.6
2023-01-22,8.2,7,4,0,3,3,3,3.75,3.25,0.75,0.5,0.75,0.5,49.5
2023-01-23,7.3,6,5,10,9,5,3,7.75,5.75,0.5,0.25,3.25,2,52.6
2023-01-24,7.2,4,6,0,1,5,4,6.75,5,3.25,2.25,0.25,0.25,62.7
2023-01-25,7.5,6,6,10,7,5,4,6.75,5,1.5,1,1.5,0.75,62.5
2023-01-26,7.6,,3,20,7,5,4,8.75,5.75,2.5,1.75,3.75,2,59.6
2023-01-27,5.1,1,4,0,1,6,0,6,3.25,1.75,0.75,1.25,0.75,37.5
2023-01-28,7.2,4,6,15,3,3,0,3.5,2,1.5,0.75,1.25,0.5,48.7
2023-01-29,5.7,4,5,50,2,4,1,2.5,1.25,0.75,0.25,0.75,0.5,33
2023-01-30,7.1,3,6,90,5,6,4,8,5,4,2.5,1.5,0.75,56.4
2023-01-31,7.1,6,6,70,11,6,4,6.75,3.25,2.25,1,1,0.25,54
2023-02-01,8.1,6,8,20,4,6,4,6.5,5.5,1.75,1.5,3.25,2.75,65.5
2023-02-02,8.6,,10,30,3,5,5,4.75,4.5,0.75,0.75,2,2,81.6
2023-02-03,7.5,,6,70,6,6,6,5.75,4.5,1.75,1.25,2.25,1.25,66.3
2023-02-04,7.3,7,7,0,4,3,2,3,2,1.75,1.25,0.25,0.25,52.5
2023-02-05,8,6,6,20,5,3,2,2.5,1.5,0.5,0.25,0.25,0,39.4
2023-02-06,6.6,5,6,0,5,5,3,7,6,2.75,2.25,1.25,0.75,53.5
2023-02-07,7.3,7,8,90,5,6,5,8.25,7.25,0.5,0.5,2.5,2.25,68.1
2023-02-08,8.1,6,8,0,2,6,4,5.5,4.5,2,2,1.25,1.25,72
2023-02-09,6.5,6,3,0,2,6,5,6.75,4.5,1.25,0.75,2.75,1.75,62.1
2023-02-10,,4,5,0,10,6,2,7.25,1.75,5.25,1.75,0.75,0.25,36.5
2023-02-11,8.2,6,8,110,2,3,3,0.75,0.5,0,0,0.5,0.5,51.2
2023-02-12,6.9,7,7,65,2,4,4,2.75,2.5,1.5,1.25,1,1,53.7
2023-02-13,,7,4,0,4,5,3,8.25,6.75,0.5,0.5,2.5,1.75,58.3
2023-02-14,7.7,8,6,0,2,6,4,7.5,6.5,3,2.75,1,0.75,67.6
2023-02-15,7.2,5,5,30,3,5,4,9.25,4.5,4,1.75,1.75,0.75,56.4
2023-02-16,6.4,3,7,0,3,6,3,5,4,1.25,1,1.5,1,44.5
2023-02-17,6.3,4,6,0,5,5,3,7,4.25,2.5,1.25,1.5,0.75,45.4
2023-02-18,7.4,7,6,15,3,4,4,1,1,0,0,0.5,0.5,51.4
2023-02-19,8.3,7,5,70,3,3,1,4.5,4.25,1.25,1.25,1.25,1,58.3
2023-02-20,6.5,6,7,0,5,5,4,7.5,6.25,0.75,0.5,2.75,2.5,68
2023-02-21,7.7,5,7,15,2,6,4,5.5,4.25,1.25,1,2.25,1.75,72.3
2023-02-22,6.1,6,7,90,4,5,5,8,7.25,1.75,1.5,3.5,3,78.4
2023-02-23,7.1,5,6,35,10,5,4,8.5,3.25,3.75,1.75,2.5,1,53.5
2023-02-24,7.1,7,5,0,7,5,3,7.25,6.25,1.5,1.5,4.5,3.5,67.1
2023-02-25,9.7,9,8,25,6,3,2,2.75,2.25,0.25,0.25,0.75,0.5,38.8
2023-02-26,6.2,4,6,0,4,3,2,3.5,2,1,0.75,1,0.5,30.9
2023-02-27,8.1,6,3,0,10,6,2,7.75,5,4.75,2.5,0.5,0.25,39
2023-02-28,6.9,4,3,0,7,5,3,7,3.5,1.5,0.75,2.25,1,45.4
2023-03-01,7.5,4,8,0,3,5,3,3.5,2.5,1.25,1,0.75,0.5,52.5
2023-03-02,7,4,6,0,6,5,3,8.5,2.25,5,2.25,0.75,0.25,40.1
2023-03-03,7.5,5,4,20,5,6,5,7.25,3.75,5.75,3.75,0.75,0.5,53.9
2023-03-04,7.2,3,3,5,2,4,2,3.75,2.5,2.25,1.5,0.75,0.5,35
2023-03-05,8.7,7,6,0,,3,2,2,1.5,1.25,1,0.75,0.5,36.9
2023-03-06,6.4,,4,20,8,5,3,6,3.25,2.25,1.5,2.75,1.25,49.2
2023-03-07,8,6,6,0,2,5,4,6,4.75,4,2.5,0.25,0.25,59.5
2023-03-08,6.5,5,6,15,3,6,5,7.5,5.75,1.25,1,3.25,2.25,72
2023-03-09,7.2,6,6,10,5,6,6,9.25,7.25,5.75,4.25,1.25,1,69.2
2023-03-10,6.2,6,7,0,6,6,4,9,6.5,1.5,1,0.75,0.5,58.4
2023-03-11,8,6,9,80,4,3,2,2.75,2,2,1.5,0.25,0.25,54.7
2023-03-12,9.1,7,6,20,2,4,3,3.5,2.75,1,0.75,0.75,0.5,54.9
2023-03-13,7,5,5,25,4,5,1,8,5.75,1.5,1,5.25,4,58.6
2023-03-14,6.7,4,6,20,1,6,3,5.25,3.25,0.75,0.5,1.5,1,54.9
2023-03-15,5.7,1,6,0,6,6,1,7.75,1,1.75,0.25,2,0.25,22.8
2023-03-16,6.4,1,3,0,4,5,1,6,1.75,2.5,1,0.25,0,20.7
2023-03-17,5.3,2,6,0,2,6,3,7.5,3.75,1.75,0.5,1.5,0.5,38.6
2023-03-18,6.6,5,4,0,4,4,2,2.75,1.75,0.25,0.25,0.75,0.25,35.4
2023-03-19,7.8,5,7,80,1,3,2,5,3.75,1.75,1.5,1.75,1.25,57.4
2023-03-20,8.1,6,4,55,13,5,3,7.25,4,5.25,2.5,0.25,0,48.4
2023-03-21,9.5,6,6,45,3,5,5,3,2.5,0.5,0.25,1,0.75,55.1
2023-03-22,6.6,3,5,0,5,6,2,7.25,3.25,2.75,1.25,2.5,1,42.8
2023-03-23,8.3,5,6,0,7,5,4,7.75,6.5,0.75,0.5,1.25,1,55.8
2023-03-24,7.3,6,8,0,,5,4,7.5,6.25,2.5,1.75,2.75,2,63.7
2023-03-25,7.4,6,5,50,6,4,2,4,3.25,1.25,1,1,0.75,43
2023-03-26,7.9,4,3,35,4,3,3,4.25,2.25,1,0.5,1.25,0.5,43.9
2023-03-27,6.9,5,5,0,4,5,4,7.5,5.5,0.25,0.25,1.75,1,56.4
2023-03-28,6.8,5,5,25,8,6,3,7.5,4.25,3,1.75,1.25,0.5,44
2023-03-29,6.5,5,5,0,4,6,2,8.25,5.75,3,1.5,4,1.25,57.3
2023-03-30,5.5,2,4,0,3,6,2,7.5,3.5,3.5,1.5,1.75,0.5,34.2
2023-03-31,5.4,2,7,35,1,5,2,5.75,3,1.25,0.75,3.5,1.5,41.3
2023-04-01,8.1,5,6,0,3,3,2,3.25,2,1.5,1,1,0.5,44.1
2023-04-02,7.4,6,6,0,3,3,2,3.75,3.25,1,1,1,0.75,56.3
2023-04-03,6.6,6,5,0,2,6,3,8,7.25,4.25,4,2.25,2,63.5
2023-04-04,7.1,6,4,15,3,5,5,6.5,4.75,2,1.75,2.75,1.5,63.9
2023-04-05,7.7,6,7,50,5,5,2,8,6.25,5.25,4.5,2,1.5,65.9
2023-04-06,7.2,6,6,0,3,6,4,7.25,5,2.25,1.75,2.25,1.5,59.5
2023-04-07,6.1,3,3,65,10,6,3,8.75,2.25,2,0.5,4.75,0.75,27.6
2023-04-08,8.2,6,5,40,2,4,4,3.5,1.75,1.25,0.5,0.5,0.25,44.7
2023-04-09,8.4,5,4,0,6,3,2,6,2.75,1,0.5,1,0.25,38.1
2023-04-10,6.7,2,3,15,2,6,2,7.75,2,3,0.5,2.75,0.25,27.4
2023-04-11,7.4,2,,0,4,5,1,9,2,2,0.5,2,0.5,32
2023-04-12,7.6,6,5,0,5,6,3,4.75,3.25,1.25,0.75,2.5,1.5,47.4
2023-04-13,7.5,5,5,50,4,5,3,6.5,2.5,3,1.25,0.5,0.25,51.2
2023-04-14,7.4,3,3,0,9,6,1,8,3.75,2.75,2,0.75,0.25,33.7
2023-04-15,7.9,5,5,55,0,3,3,5,3.25,1.75,1,1,0.75,56.1
2023-04-16,8,7,6,35,2,4,4,5.75,4.75,3.25,2.25,0.25,0.25,65.4
2023-04-17,5.8,3,5,0,7,5,2,6.5,2.75,1.75,0.75,2,0.5,30
2023-04-18,7.4,5,5,0,4,6,3,8,2,2.75,0.75,1.5,0.25,43.6
2023-04-19,5.5,4,5,40,6,5,2,8.25,4.25,2.25,1.25,0.75,0.25,49.3
2023-04-20,6,2,4,0,5,5,2,6.5,2.25,0.75,0.25,0.25,0,24.7
2023-04-21,8.1,5,7,45,3,5,4,7.5,3.25,1,0.5,1.75,0.5,59.7
2023-04-22,8,5,6,0,3,4,2,0.25,0.25,0,0,0,0,26.3
2023-04-23,8.7,6,6,25,5,3,2,5,2.25,2.5,1,0.5,0.25,48
2023-04-24,6.6,5,6,0,4,5,2,8,5.25,1,0.75,3.5,1.5,53.1
2023-04-25,5.7,4,4,0,6,6,2,7,2.25,0.25,0,3.5,0.5,31.8
2023-04-26,6.3,4,5,25,4,5,4,7,3.25,2.75,1.25,2.5,1,46.9
2023-04-27,6.8,5,5,0,1,5,3,7.75,4.75,5.75,3.75,0.75,0.5,54.8
2023-04-28,6.7,4,3,0,4,6,4,6.75,2.25,2.75,0.75,2.5,1,36.1
2023-04-29,8.4,6,6,45,5,4,2,4.25,3.25,0.5,0.25,0.5,0.25,45.3
2023-04-30,7.1,5,6,0,1,4,2,0.5,0.25,0.25,0.25,0.25,0.25,32.5
2023-05-01,7.4,6,5,0,7,6,3,8.75,7,1.5,1.25,4,2.75,59.4
2023-05-02,6.2,,7,30,5,5,2,5.5,3,2.25,1.25,1,0.5,43.1
2023-05-03,7.3,6,4,0,6,5,2,6.5,4,3.75,2.5,1.5,0.75,50.6
2023-05-04,6.9,5,3,60,9,5,2,7.25,3,2.25,1,2.25,0.5,47.3
2023-05-05,6.3,4,4,0,4,6,2,9.5,6.25,6.5,3,1,0.25,52.5
2023-05-06,7.6,7,4,0,5,4,3,2.25,1.75,0.5,0.25,0,0,44.9
2023-05-07,7.8,7,7,0,1,3,3,2.25,2,1,1,0.75,0.75,69.5
2023-05-08,7.1,7,,10,2,6,5,6.25,5.25,2,1.5,2.5,2,66.9
2023-05-09,9.1,10,8,0,10,5,5,9.25,7.75,2.5,2.25,2.25,2.25,74.6
2023-05-10,7.1,5,8,50,2,5,3,3.25,2.5,0.5,0.5,1.75,1.25,54.4
2023-05-11,6.8,6,5,30,1,6,5,5.75,5.5,0.25,0.25,1.25,1.25,63
2023-05-12,5,3,4,0,,6,3,10.5,3,1.25,0.25,5.5,0.75,34.7
2023-05-13,6.6,5,6,25,0,4,0,2.5,1.75,1.25,0.75,0.5,0.25,37
2023-05-14,7,7,7,0,2,4,3,3.5,2.5,1.75,1.25,1,0.75,44.2
2023-05-15,6.2,3,2,30,8,6,1,7,1.5,1.75,0.5,1,0.25,27.9
2023-05-16,8,6,6,20,5,6,4,7,5.25,1.5,1.25,1.5,1,59.3
2023-05-17,6.4,3,2,70,3,5,2,8,2.5,2.25,1,0.5,0,39.9
2023-05-18,7.6,4,3,0,8,5,1,9.5,2.5,0.75,0,3,0.5,27
2023-05-19,6.7,4,6,40,,6,3,7.5,3,0.5,0.25,5.75,1,32.6
2023-05-20,7.5,6,9,,5,3,1,3,2.5,1,0.75,0.25,0.25,45.6
2023-05-21,7.8,7,6,0,4,3,3,1.5,1.25,0.5,0.5,0,0,50.3
2023-05-22,7.7,9,6,0,2,5,5,6,6,1.5,1.5,3.25,3,80.3
2023-05-23,9.2,8,7,0,2,5,5,5.75,5.25,1.5,1.5,2.75,2.75,76.7
2023-05-24,5.3,3,6,40,,6,3,4.75,3.75,1,0.75,1.25,1,49
2023-05-25,5.1,5,5,50,3,5,4,5,3.5,1,0.75,0.5,0.25,46.7
2023-05-26,6.5,5,4,0,7,5,3,5.75,2,3.25,1,0.5,0,37.1
2023-05-27,7.4,4,5,65,3,4,2,2.75,1.25,0.25,0.25,0.75,0.5,38
2023-05-28,8,5,6,10,4,3,0,2.75,1.5,0.5,0.25,1,0.5,34.3
2023-05-29,7.1,4,4,0,7,5,2,5.5,1.75,4,1.75,0.75,0,30.5
2023-05-30,6.4,5,5,90,6,5,3,3,1.75,1.5,0.75,0.25,0,43.4
2023-05-31,7.9,,5,0,2,6,3,5.75,4.25,1.5,1,2.75,2.25,63
2023-06-01,7.9,6,5,10,3,5,5,6.5,5.5,2.5,2.5,1.5,1.25,68.7
2023-06-02,7.2,5,5,45,5,6,3,6.25,4.75,1.75,1.5,1,0.75,48
2023-06-03,8.3,6,6,75,1,3,2,0.75,0.5,0.5,0.25,0,0,36.6
2023-06-04,7.4,4,5,0,3,4,0,5.5,3.5,1,0.75,0.5,0.25,32.3
2023-06-05,6,,4,0,4,5,0,8.25,3,1.25,0.5,4.25,1,23.9
2023-06-06,7.3,5,2,0,8,6,1,7,3.5,1.75,1,0.75,0.25,32.9
2023-06-07,7.1,6,7,45,6,5,3,7,4.5,4,3,1,0.5,64.8
2023-06-08,7,6,6,0,4,6,4,6,4.25,0.75,0.5,3.25,1.25,59.1
2023-06-09,8.5,6,4,0,6,5,3,7,4.75,3.5,2.5,0.25,0,49.5
2023-06-10,5.5,4,5,25,1,3,1,2.5,1.75,0.75,0.5,0.5,0.25,37.9
2023-06-11,6.2,3,4,0,4,3,1,5,3.25,1,0.75,1.5,1,38.7
2023-06-12,5.6,2,5,0,4,5,3,6.75,1.5,4,1.5,1,0,27.3
2023-06-13,6.3,2,4,0,2,5,3,5.75,1.75,1,0.25,2.75,0.5,38.8
2023-06-14,6.9,7,6,50,5,6,5,8.25,6.75,4,3.25,1,0.5,67.5
2023-06-15,5.6,4,5,0,6,5,2,7.5,4.5,4,2.25,1.25,0.5,43
2023-06-16,6.2,5,4,45,4,5,3,6.5,4.75,2.25,1.75,2.75,1.75,52.2
2023-06-17,6.7,6,7,0,5,4,3,4,2.25,3.25,1.75,0.5,0.25,43.1
2023-06-18,9.9,9,7,25,6,3,3,3.5,2.75,0.5,0.25,1,0.75,43.9
